15999	55	[0.20764442 0.20842962 0.2180434 ]	 p2-p1: 0.0008 
16004	55	[0.20770237 0.2096869  0.21647227]	 p2-p1: 0.0020 
16009	48	[0.20695637 0.20762119 0.22305846]	 p2-p1: 0.0007 
16014	48	[0.20653233 0.20741722 0.22204322]	 p2-p1: 0.0009 
16019	48	[0.20722751 0.20759812 0.21828753]	 p2-p1: 0.0004 
16024	48	[0.20867696 0.20901065 0.21993664]	 p2-p1: 0.0003 
16029	59	[0.21452615 0.21486224 0.21535823]	 p2-p1: 0.0003 
16034	49	[0.20841514 0.21121824 0.2224356 ]	 p2-p1: 0.0028 
16039	49	[0.21454187 0.21927643 0.22688785]	 p2-p1: 0.0047 
16044	51	[0.2252999  0.22590019 0.23580852]	 p2-p1: 0.0006 
16049	48	[0.22152884 0.22586103 0.23042005]	 p2-p1: 0.0043 
16054	48	[0.22177811 0.23239186 0.23962438]	 p2-p1: 0.0106 
16059	48	[0.2387509  0.24233973 0.25280264]	 p2-p1: 0.0036 
16064	55	[0.23223779 0.25141492 0.26282963]	 p2-p1: 0.0192 
16069	49	[0.22311367 0.22728686 0.25375602]	 p2-p1: 0.0042 
16074	49	[0.20917003 0.23738866 0.24179158]	 p2-p1: 0.0282 
16079	49	[0.21185827 0.22385862 0.22977448]	 p2-p1: 0.0120 
16084	59	[0.21613124 0.21615726 0.23274817]	 p2-p1: 0.0000 
16089	56	[0.20911056 0.21628101 0.23329064]	 p2-p1: 0.0072 
16094	56	[0.20818093 0.22565882 0.23252104]	 p2-p1: 0.0175 
16099	56	[0.20791139 0.23030809 0.24180204]	 p2-p1: 0.0224 
16104	56	[0.20832887 0.2295799  0.2508778 ]	 p2-p1: 0.0213 
16109	56	[0.21085511 0.23029745 0.23925316]	 p2-p1: 0.0194 
16114	56	[0.2195118  0.2219241  0.23271534]	 p2-p1: 0.0024 
16119	49	[0.21693367 0.23144892 0.23711011]	 p2-p1: 0.0145 
16124	49	[0.23307556 0.24348143 0.24368694]	 p2-p1: 0.0104 
16129	54	[0.23464662 0.24054283 0.24297006]	 p2-p1: 0.0059 
16134	48	[0.23297468 0.23837754 0.24091516]	 p2-p1: 0.0054 
16139	48	[0.2447113  0.24946085 0.25307366]	 p2-p1: 0.0047 
16144	56	[0.24235544 0.24612324 0.26118928]	 p2-p1: 0.0038 
16149	56	[0.23092917 0.23311591 0.2597698 ]	 p2-p1: 0.0022 
16154	56	[0.2218728  0.22563574 0.24009909]	 p2-p1: 0.0038 
16159	56	[0.21655124 0.22038239 0.26246917]	 p2-p1: 0.0038 
16164	56	[0.21511808 0.23657699 0.24780127]	 p2-p1: 0.0215 
16169	56	[0.21752879 0.22844873 0.23075783]	 p2-p1: 0.0109 
16174	56	[0.22397366 0.22800691 0.22830123]	 p2-p1: 0.0040 
